Trip,Location,Exposure,Depth,Site,Site_unique,site_meangamma,habitat_meangamma,Date,quadrat_cattletag,Quadrat2,time,photos_each_piece,Number_coral_recruits_less5cm,Survey_depth_m,quadrat_angle,Quadrat_angle2,depth_standardised_to_tide_at_dive_time,Survey_layer,Patch_width_m,Patch_length_m,Patch_area_m2,distance_centre_to_closest_patch_edge_m,distance_centre_to_closest_patch_edge_m_2,Average_bed_depth_cm,bed_depth_1,bed_depth_2,bed_depth_3,bed_depth_4,bed_depth_5,bed_depth_6,bed_depth_7,bed_depth_8,Piece,Unique_piece,Layer_in_rubble_bed,Percent_hidden_in_bed,number_contact_points,Number_contact_points2,max_gap_size_to_right_cm,Max_gap_size_to_right_cm2,stable_y_n,stable_0-1,Stable_0-1_v2,Stable_0-2,stable_description,Stable_description2,widest_span_cm,Widest_span_cm2,"morphology (change to very branched, limited branching, unbranched, other)",morphology,Morphology2,Number of branches,Num_branches2,Num_branches3_0_for_other,Interlocking_morphology_or_not-Branched_Plate,number_binds,Number_binds2,estimated_break_force_from_grids_bind_number_break_force_correlation,e_break_force2,e_break_force3,Bound,Bound_to_how_many,number_binder_types,binder1,binder1-new,Binder1-broad_cat,Binder1_length_cm,binder2,binder2-new,Binder2-broad_cat,Binder2_length_cm,binder3,binder3-new,Binder3-broad_cat,Binder3_length_cm ,binder4,binder4-new,Binder4-broad_cat,Binder4_length_cm,binder5,binder5-new,Binder5-broad_cat,Binder5_length_cm,binder6-new,Binder6-broad_cat,Binder6_length_cm,Binder7-broad_cat,Binder7_length_cm,Binder8-broad_cat,Binder8_length_cm,Binder9-broad_cat,Binder9_length_cm,Binder10-broad_cat,Binder10_length_cm,Binder11-broad_cat,Binder11_length_cm,Binder12-broad_cat,Binder12_length_cm,Binder13-broad_cat,Binder13_length_cm,Binder14-broad_cat,Binder14_length_cm,Binder15-broad_cat,Binder15_length_cm,Surveyor
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,7,259,NA,no,NA,16,Unknown,flat,Maybe fill in later,Surface,3.2,1,3.2,0.55,0.55,4.0625,3,7,2,3,6,1.5,8,2,11,11,NA,NA,1,1,1.3,1.3,n,0,0,0,unstable,unstable,7.5,7.5,boulder,boulder,other,no photos,0,0,0,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,7,259,NA,no,NA,16,Unknown,flat,Maybe fill in later,Surface,3.2,1,3.2,0.55,0.55,4.0625,3,7,2,3,6,1.5,8,2,12,12,NA,NA,2,2,0.7,0.7,n,0,0,0,unstable,unstable,17,17,branched,branched,branched,no photos,NA,NA,1,2,2,1.23,1.23,1.23,1,1,1,sponge,Sponge,Sponge,1.9,sponge,Sponge,Sponge,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,8,262,NA,no,NA,16.1,Unknown,flat,Maybe fill in later,Surface,1.4,0.94,1.316,0.35,0.35,4.5,1.5,2,6,4,6,10,5,1.5,1,13,NA,NA,3,3,1.1,1.1,y,1,1,1,interlocked,interlocked,9.6,9.6,very branched,branched,branched,no photos,NA,NA,1,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,8,262,NA,no,NA,16.1,Unknown,flat,Maybe fill in later,Surface,1.4,0.94,1.316,0.35,0.35,4.5,1.5,2,6,4,6,10,5,1.5,2,14,NA,NA,3,3,3.6,3.6,y,1,1,1,interlocked,interlocked,11.5,11.5,very branched,branched,branched,no photos,NA,NA,1,1,1,-0.04,-0.04,0,1,1,1,sponge,Sponge,Sponge,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,8,262,NA,no,NA,16.1,Unknown,flat,Maybe fill in later,Surface,1.4,0.94,1.316,0.35,0.35,4.5,1.5,2,6,4,6,10,5,1.5,3,15,NA,NA,2,2,1.5,1.5,n,0,0,0,unstable,unstable,15.3,15.3,very branched,branched,branched,no photos,NA,NA,1,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,8,262,NA,no,NA,16.1,Unknown,flat,Maybe fill in later,Surface,1.4,0.94,1.316,0.35,0.35,4.5,1.5,2,6,4,6,10,5,1.5,4,16,NA,NA,3,3,2.2,2.2,n,0,0,0,unstable,unstable,11.5,11.5,very branched,branched,branched,no photos,NA,NA,1,1,1,-0.04,-0.04,0,1,1,1,sponge,Sponge,Sponge,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,8,262,NA,no,NA,16.1,Unknown,flat,Maybe fill in later,Surface,1.4,0.94,1.316,0.35,0.35,4.5,1.5,2,6,4,6,10,5,1.5,5,17,NA,NA,3,3,1.5,1.5,y,1,1,2,buried,buried,12.9,12.9,very branched,branched,branched,no photos,NA,NA,1,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,8,262,NA,no,NA,16.1,Unknown,flat,Maybe fill in later,Surface,1.4,0.94,1.316,0.35,0.35,4.5,1.5,2,6,4,6,10,5,1.5,6,18,NA,NA,3,3,2.2,2.2,n,0,0,0,unstable,unstable,8,8,very branched,branched,branched,no photos,NA,NA,1,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,8,262,NA,no,NA,16.1,Unknown,flat,Maybe fill in later,Surface,1.4,0.94,1.316,0.35,0.35,4.5,1.5,2,6,4,6,10,5,1.5,7,19,NA,NA,2,2,10,10,n,0,0,0,unstable,unstable,14.3,14.3,very branched,branched,branched,no photos,NA,NA,1,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,8,262,NA,no,NA,16.1,Unknown,flat,Maybe fill in later,Surface,1.4,0.94,1.316,0.35,0.35,4.5,1.5,2,6,4,6,10,5,1.5,8,20,NA,NA,3,3,1.1,1.1,n,0,0,0,unstable,unstable,6.7,6.7,very branched,branched,branched,no photos,NA,NA,1,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,8,262,NA,no,NA,16.1,Unknown,flat,Maybe fill in later,Surface,1.4,0.94,1.316,0.35,0.35,4.5,1.5,2,6,4,6,10,5,1.5,9,21,NA,NA,4,4,2.1,2.1,y,1,1,1,interlocked,interlocked,18.5,18.5,very branched,branched,branched,no photos,NA,NA,1,1,1,-0.04,-0.04,0,1,1,1,macroalgae,Macroalgae,Other macroalgae,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,8,262,NA,no,NA,16.1,Unknown,flat,Maybe fill in later,Surface,1.4,0.94,1.316,0.35,0.35,4.5,1.5,2,6,4,6,10,5,1.5,10,22,NA,NA,6,6,4,4,y,1,1,1,interlocked,interlocked,16.8,16.8,very branched,branched,branched,no photos,NA,NA,1,1,1,-0.04,-0.04,0,1,1,1,turf algae,Turf algae,Turf algae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,8,262,NA,no,NA,16.1,Unknown,flat,Maybe fill in later,Surface,1.4,0.94,1.316,0.35,0.35,4.5,1.5,2,6,4,6,10,5,1.5,11,23,NA,NA,2,2,3.2,3.2,n,0,0,0,unstable,unstable,9.2,9.2,very branched,branched,branched,no photos,NA,NA,1,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,8,262,NA,no,NA,16.1,Unknown,flat,Maybe fill in later,Surface,1.4,0.94,1.316,0.35,0.35,4.5,1.5,2,6,4,6,10,5,1.5,12,24,NA,NA,2,2,1.1,1.1,n,0,0,0,unstable,unstable,3.8,3.8,unbranched,unbranched,unbranched,0,0,0,0,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,3,258,NA,yes,NA,16,Unknown,flat,Maybe fill in later,Surface,2.9,1.1,3.19,0.34,0.34,3.714285714,2,2.5,9,2.5,5,4,2.5,3.5,1,25,NA,NA,not recorded,NA,0.2,0.2,n,0,0,0,unstable,unstable,6.6,6.6,unbranched,unbranched,unbranched,0,0,0,0,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roima
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,3,258,NA,yes,NA,16,Unknown,flat,Maybe fill in later,Surface,2.9,1.1,3.19,0.34,0.34,3.714285714,2,2.5,9,2.5,5,4,2.5,3.5,2,26,NA,NA,not recorded,NA,3.5,3.5,n,0,0,0,unstable,unstable,10.6,10.6,plate,plate,other,0,1,0,1,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roima
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,3,258,NA,yes,NA,16,Unknown,flat,Maybe fill in later,Surface,2.9,1.1,3.19,0.34,0.34,3.714285714,2,2.5,9,2.5,5,4,2.5,3.5,3,27,NA,NA,not recorded,NA,0.5,0.5,n,0,0,0,unstable,unstable,9,9,unbranched,unbranched,unbranched,0,0,0,0,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roima
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,3,258,NA,yes,NA,16,Unknown,flat,Maybe fill in later,Surface,2.9,1.1,3.19,0.34,0.34,3.714285714,2,2.5,9,2.5,5,4,2.5,3.5,4,28,NA,NA,not recorded,NA,1,1,n,0,0,0,unstable,unstable,6.6,6.6,unbranched,unbranched,unbranched,0,0,0,0,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roima
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,3,258,NA,yes,NA,16,Unknown,flat,Maybe fill in later,Surface,2.9,1.1,3.19,0.34,0.34,3.714285714,2,2.5,9,2.5,5,4,2.5,3.5,5,29,NA,NA,not recorded,NA,0.7,0.7,n,0,0,0,unstable,unstable,7,7,boulder,boulder,other,1,1,0,0,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roima
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,3,258,NA,yes,NA,16,Unknown,flat,Maybe fill in later,Surface,2.9,1.1,3.19,0.34,0.34,3.714285714,2,2.5,9,2.5,5,4,2.5,3.5,6,30,NA,NA,not recorded,NA,2.3,2.3,n,0,0,0,unstable,unstable,11.9,11.9,branched,branched,branched,1,1,1,1,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roima
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,3,258,NA,yes,NA,16,Unknown,flat,Maybe fill in later,Surface,2.9,1.1,3.19,0.34,0.34,3.714285714,2,2.5,9,2.5,5,4,2.5,3.5,7,31,NA,NA,not recorded,NA,2.2,2.2,n,0,0,0,unstable,unstable,6,6,branched,branched,branched,2,2,2,1,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roima
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,3,258,NA,yes,NA,16,Unknown,flat,Maybe fill in later,Surface,2.9,1.1,3.19,0.34,0.34,3.714285714,2,2.5,9,2.5,5,4,2.5,3.5,8,32,NA,NA,not recorded,NA,3,3,n,0,0,0,unstable,unstable,8.4,8.4,branched,branched,branched,1,1,1,1,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roima
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,3,258,NA,yes,NA,16,Unknown,flat,Maybe fill in later,Surface,2.9,1.1,3.19,0.34,0.34,3.714285714,2,2.5,9,2.5,5,4,2.5,3.5,9,33,NA,NA,not recorded,NA,0.6,0.6,n,0,0,0,unstable,unstable,7.3,7.3,branched,unbranched,unbranched,0,0,0,0,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roima
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,3,258,NA,yes,NA,16,Unknown,flat,Maybe fill in later,Surface,2.9,1.1,3.19,0.34,0.34,3.714285714,2,2.5,9,2.5,5,4,2.5,3.5,10,34,NA,NA,not recorded,NA,1.3,1.3,n,0,0,0,unstable,unstable,8.7,8.7,branched,branched,branched,1,1,1,1,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roima
